t_s,v_ms,f_ZZ_Hz,f_REF_Hz,H_eff_s,P_gov_MW,omega0_rads,Pelec0_MW,Pzz0_kW,lam0,omega1_rads,Pelec1_MW,Pzz1_kW,lam1,omega2_rads,Pelec2_MW,Pzz2_kW,lam2,omega3_rads,Pelec3_MW,Pzz3_kW,lam3,omega4_rads,Pelec4_MW,Pzz4_kW,lam4
72.78,11.003,49.87952,49.87952,4.008234,98.0025,1.1487,4.2028,155.089,6.259,1.1475,4.2001,-155.089,6.259,1.1475,4.2002,-155.089,6.259,1.1488,4.2046,155.089,6.26,1.148,4.2004,0.0,6.259
72.8,11.009,49.87952,49.87951,4.008238,97.996,1.1495,4.2201,165.656,6.261,1.1472,4.1949,-165.656,6.254,1.1472,4.195,-165.656,6.254,1.1496,4.2219,165.656,6.261,1.1483,4.2064,0.0,6.257
72.82,11.014,49.87951,49.87951,4.008242,97.9895,1.1503,4.2375,176.118,6.262,1.147,4.1896,-176.118,6.25,1.147,4.1897,-176.118,6.25,1.1504,4.2393,176.118,6.262,1.1486,4.2123,0.0,6.255
72.84,11.02,49.87951,49.8795,4.008246,97.9831,1.1512,4.2548,186.469,6.263,1.1467,4.1844,-186.469,6.245,1.1467,4.1844,-186.469,6.245,1.1513,4.2567,186.469,6.264,1.1489,4.2183,0.0,6.254
72.86,11.025,49.8795,49.8795,4.008251,97.9768,1.152,4.2722,196.702,6.265,1.1465,4.1791,-196.702,6.24,1.1465,4.1791,-196.702,6.241,1.1521,4.274,196.702,6.265,1.1492,4.2243,0.0,6.252
72.88,11.031,49.8795,49.87949,4.008255,97.9705,1.1528,4.2895,206.811,6.266,1.1462,4.1738,-206.811,6.236,1.1462,4.1739,-206.811,6.236,1.1529,4.2914,206.811,6.267,1.1495,4.2303,0.0,6.251
72.9,11.036,49.87949,49.87948,4.008259,97.9642,1.1536,4.3068,216.789,6.267,1.146,4.1686,-216.789,6.232,1.146,4.1686,-216.789,6.232,1.1537,4.3087,216.789,6.268,1.1497,4.2363,0.0,6.249
72.92,11.042,49.87948,49.87947,4.008263,97.958,1.1545,4.3241,226.63,6.269,1.1457,4.1634,-226.63,6.227,1.1457,4.1634,-226.63,6.227,1.1546,4.326,226.63,6.269,1.15,4.2423,0.0,6.248
72.94,11.047,49.87947,49.87947,4.008267,97.9518,1.1553,4.3414,236.329,6.27,1.1455,4.1582,-236.329,6.223,1.1455,4.1582,-236.329,6.223,1.1554,4.3433,236.329,6.271,1.1503,4.2483,0.0,6.246
72.96,11.053,49.87947,49.87946,4.008271,97.9457,1.1561,4.3586,245.877,6.271,1.1452,4.1531,-245.877,6.218,1.1452,4.1531,-245.877,6.218,1.1562,4.3606,245.877,6.272,1.1506,4.2543,0.0,6.244
72.98,11.058,49.87946,49.87945,4.008275,97.9396,1.1569,4.3758,255.271,6.273,1.145,4.148,-255.271,6.214,1.145,4.148,-255.271,6.214,1.157,4.3777,255.271,6.273,1.1509,4.2603,0.0,6.243
73.0,11.064,49.87945,49.87944,4.008279,97.9336,1.1577,4.3929,264.503,6.274,1.1447,4.143,-264.503,6.209,1.1447,4.143,-264.503,6.209,1.1578,4.3949,264.503,6.274,1.1512,4.2663,0.0,6.241
73.02,11.069,49.87944,49.87943,4.008284,97.9276,1.1585,4.41,273.569,6.275,1.1445,4.138,-273.569,6.205,1.1445,4.138,-273.569,6.205,1.1586,4.4119,273.569,6.276,1.1515,4.2723,0.0,6.24
73.04,11.075,49.87943,49.87942,4.008288,97.9217,1.1593,4.427,282.461,6.276,1.1443,4.1331,-282.461,6.201,1.1443,4.1331,-282.461,6.201,1.1594,4.4289,282.461,6.277,1.1517,4.2783,0.0,6.238
73.06,11.08,49.87942,49.87941,4.008292,97.9158,1.1601,4.4439,291.175,6.278,1.1441,4.1283,-291.175,6.196,1.1441,4.1283,-291.175,6.196,1.1602,4.4458,291.175,6.278,1.152,4.2843,0.0,6.237
73.08,11.086,49.87941,49.8794,4.008296,97.91,1.1609,4.4607,299.705,6.279,1.1438,4.1236,-299.705,6.192,1.1438,4.1236,-299.705,6.192,1.161,4.4626,299.705,6.279,1.1523,4.2903,0.0,6.235
73.1,11.091,49.8794,49.87939,4.0083,97.9042,1.1617,4.4774,308.046,6.28,1.1436,4.119,-308.046,6.188,1.1436,4.119,-308.046,6.188,1.1618,4.4793,308.046,6.28,1.1526,4.2964,0.0,6.234
73.12,11.097,49.87939,49.87938,4.008304,97.8985,1.1624,4.494,316.192,6.281,1.1434,4.1145,-316.192,6.183,1.1434,4.1145,-316.192,6.183,1.1625,4.4959,316.192,6.281,1.1529,4.3024,0.0,6.232
73.14,11.102,49.87938,49.87936,4.008308,97.8929,1.1632,4.5105,324.139,6.282,1.1432,4.1101,-324.139,6.179,1.1432,4.1101,-324.139,6.179,1.1633,4.5124,324.139,6.283,1.1532,4.3084,0.0,6.231
73.16,11.108,49.87937,49.87935,4.008312,97.8873,1.164,4.5268,331.881,6.283,1.143,4.1058,-331.881,6.175,1.143,4.1058,-331.881,6.175,1.1641,4.5287,331.881,6.284,1.1535,4.3144,0.0,6.229
73.18,11.113,49.87936,49.87934,4.008316,97.8817,1.1647,4.5431,339.413,6.284,1.1428,4.1016,-339.413,6.171,1.1428,4.1016,-339.413,6.171,1.1648,4.545,339.413,6.285,1.1538,4.3204,0.0,6.227
73.2,11.119,49.87935,49.87933,4.008321,97.8763,1.1655,4.5592,346.731,6.285,1.1426,4.0976,-346.731,6.167,1.1426,4.0976,-346.731,6.167,1.1656,4.561,346.731,6.286,1.154,4.3265,0.0,6.226
73.22,11.124,49.87934,49.87931,4.008325,97.8708,1.1662,4.5751,353.83,6.286,1.1424,4.0936,-353.83,6.163,1.1424,4.0937,-353.83,6.163,1.1663,4.577,353.83,6.287,1.1543,4.3325,0.0,6.224
73.24,11.13,49.87932,49.8793,4.008329,97.8655,1.1669,4.5909,360.705,6.287,1.1423,4.0899,-360.705,6.159,1.1423,4.0899,-360.705,6.159,1.167,4.5928,360.705,6.287,1.1546,4.3385,0.0,6.223
73.26,11.135,49.87931,49.87929,4.008333,97.8602,1.1677,4.6066,367.353,6.288,1.1421,4.0863,-367.353,6.155,1.1421,4.0864,-367.353,6.155,1.1677,4.6084,367.353,6.288,1.1549,4.3445,0.0,6.221
73.28,11.141,49.8793,49.87927,4.008337,97.8549,1.1684,4.6221,373.768,6.289,1.1419,4.0828,-373.768,6.151,1.1419,4.0829,-373.768,6.151,1.1685,4.6239,373.768,6.289,1.1552,4.3506,0.0,6.22
73.3,11.146,49.87928,49.87926,4.008341,97.8498,1.1691,4.6374,379.948,6.289,1.1418,4.0795,-379.948,6.147,1.1418,4.0796,-379.948,6.147,1.1692,4.6392,379.948,6.29,1.1555,4.3566,0.0,6.218
73.32,11.152,49.87927,49.87924,4.008345,97.8447,1.1698,4.6526,385.887,6.29,1.1416,4.0764,-385.887,6.143,1.1416,4.0765,-385.887,6.143,1.1699,4.6543,385.887,6.291,1.1558,4.3626,0.0,6.217
73.34,11.157,49.87926,49.87923,4.008349,97.8396,1.1705,4.6676,391.583,6.291,1.1415,4.0734,-391.583,6.139,1.1415,4.0736,-391.583,6.139,1.1705,4.6693,391.583,6.291,1.156,4.3687,0.0,6.215
73.36,11.162,49.87924,49.87921,4.008353,97.8346,1.1711,4.6823,397.031,6.291,1.1414,4.0706,-397.031,6.136,1.1414,4.0708,-397.031,6.136,1.1712,4.6841,397.031,6.292,1.1563,4.3747,0.0,6.214
73.38,11.168,49.87923,49.8792,4.008357,97.8297,1.1718,4.6969,402.229,6.292,1.1413,4.068,-402.229,6.132,1.1413,4.0683,-402.229,6.132,1.1719,4.6986,402.229,6.292,1.1566,4.3807,0.0,6.212
73.4,11.173,49.87921,49.87918,4.008361,97.8249,1.1725,4.7113,407.172,6.292,1.1411,4.0656,-407.172,6.128,1.1412,4.0659,-407.172,6.129,1.1725,4.713,407.172,6.293,1.1569,4.3868,0.0,6.211
73.42,11.179,49.8792,49.87917,4.008365,97.8201,1.1731,4.7255,411.859,6.293,1.1411,4.0634,-411.859,6.125,1.1411,4.0637,-411.859,6.125,1.1732,4.7271,411.859,6.293,1.1572,4.3928,0.0,6.209
73.44,11.184,49.87918,49.87915,4.00837,97.8154,1.1737,4.7395,416.285,6.293,1.141,4.0614,-416.285,6.121,1.141,4.0618,-416.285,6.122,1.1738,4.7411,416.285,6.294,1.1575,4.3988,0.0,6.208
73.46,11.19,49.87917,49.87913,4.008374,97.8107,1.1744,4.7533,420.448,6.294,1.1409,4.0596,-420.448,6.118,1.1409,4.06,-420.448,6.118,1.1744,4.7548,420.448,6.294,1.1578,4.4049,0.0,6.206
73.48,11.195,49.87915,49.87912,4.008378,97.8062,1.175,4.7668,424.346,6.294,1.1408,4.058,-424.346,6.115,1.1408,4.0585,-424.346,6.115,1.175,4.7683,424.346,6.294,1.158,4.4109,0.0,6.205
73.5,11.2,49.87913,49.8791,4.008382,97.8017,1.1756,4.7801,427.975,6.294,1.1408,4.0567,-427.975,6.111,1.1408,4.0571,-427.975,6.111,1.1756,4.7816,427.975,6.295,1.1583,4.4169,0.0,6.204
73.52,11.206,49.87912,49.87908,4.008386,97.7972,1.1762,4.7932,431.335,6.295,1.1407,4.0555,-431.335,6.108,1.1407,4.056,-431.335,6.108,1.1762,4.7947,431.335,6.295,1.1586,4.423,0.0,6.202
73.54,11.211,49.8791,49.87907,4.00839,97.7929,1.1768,4.8061,434.422,6.295,1.1407,4.0546,-434.422,6.105,1.1407,4.0552,-434.422,6.105,1.1768,4.8075,434.422,6.295,1.1589,4.429,0.0,6.201
73.56,11.217,49.87908,49.87905,4.008394,97.7886,1.1773,4.8187,437.234,6.295,1.1407,4.0539,-437.234,6.102,1.1407,4.0545,-437.234,6.102,1.1774,4.82,437.234,6.295,1.1592,4.435,0.0,6.199
73.58,11.222,49.87907,49.87903,4.008398,97.7843,1.1779,4.8311,439.771,6.295,1.1407,4.0535,-439.771,6.099,1.1407,4.0541,-439.771,6.099,1.1779,4.8324,439.771,6.295,1.1595,4.4411,0.0,6.198
73.6,11.227,49.87905,49.87901,4.008402,97.7802,1.1784,4.8432,442.029,6.295,1.1407,4.0533,-442.029,6.096,1.1407,4.054,-442.029,6.096,1.1785,4.8444,442.029,6.295,1.1597,4.4471,0.0,6.196
73.62,11.233,49.87903,49.87899,4.008406,97.7761,1.179,4.8551,444.009,6.295,1.1407,4.0533,-444.009,6.093,1.1407,4.054,-444.009,6.093,1.179,4.8563,444.009,6.295,1.16,4.4531,0.0,6.195
73.64,11.238,49.87901,49.87897,4.00841,97.7721,1.1795,4.8667,445.708,6.294,1.1407,4.0536,-445.708,6.09,1.1407,4.0544,-445.708,6.09,1.1795,4.8678,445.708,6.295,1.1603,4.4591,0.0,6.193
73.66,11.243,49.87899,49.87896,4.008414,97.7682,1.18,4.8781,447.125,6.294,1.1407,4.0541,-447.125,6.087,1.1408,4.055,-447.125,6.088,1.18,4.8791,447.125,6.295,1.1606,4.4652,0.0,6.192
73.68,11.249,49.87898,49.87894,4.008418,97.7643,1.1805,4.8892,448.26,6.294,1.1408,4.0549,-448.26,6.085,1.1408,4.0558,-448.26,6.085,1.1805,4.8902,448.26,6.294,1.1609,4.4712,0.0,6.191
73.7,11.254,49.87896,49.87892,4.008422,97.7605,1.181,4.9,449.112,6.294,1.1409,4.056,-449.112,6.082,1.1409,4.0569,-449.112,6.082,1.181,4.9009,449.112,6.294,1.1612,4.4772,0.0,6.189
73.72,11.259,49.87894,49.8789,4.008426,97.7568,1.1814,4.9105,449.68,6.293,1.1409,4.0573,-449.68,6.079,1.141,4.0583,-449.68,6.08,1.1815,4.9115,449.68,6.293,1.1614,4.4833,0.0,6.188
73.74,11.265,49.87892,49.87888,4.00843,97.7532,1.1819,4.9208,449.964,6.293,1.141,4.0589,-449.964,6.077,1.1411,4.06,-449.964,6.077,1.1819,4.9217,449.964,6.293,1.1617,4.4893,0.0,6.186
73.76,11.27,49.8789,49.87886,4.008434,97.7497,1.1793,4.9308,-449.964,6.292,1.1443,4.0607,449.964,6.075,1.1443,4.0619,449.964,6.075,1.1793,4.9316,-449.964,6.292,1.162,4.4953,0.0,6.185
73.78,11.275,49.87888,49.87884,4.008438,97.7462,1.1769,4.874,-449.68,6.275,1.1473,4.1282,449.68,6.089,1.1474,4.1294,449.68,6.089,1.1769,4.8747,-449.68,6.276,1.1623,4.5013,0.0,6.183
73.8,11.281,49.87886,49.87882,4.008442,97.7428,1.1747,4.8215,-449.112,6.26,1.1502,4.1918,449.112,6.102,1.1503,4.1931,449.112,6.103,1.1747,4.8221,-449.112,6.26,1.1626,4.5073,0.0,6.182
73.82,11.286,49.87884,49.8788,4.008447,97.7394,1.1726,4.7731,-448.26,6.245,1.1529,4.2517,448.26,6.115,1.1529,4.253,448.26,6.115,1.1726,4.7737,-448.26,6.245,1.1629,4.5134,0.0,6.181
73.84,11.291,49.87882,49.87878,4.008451,97.7362,1.1707,4.7284,-447.125,6.231,1.1554,4.3081,447.125,6.126,1.1555,4.3095,447.125,6.127,1.1707,4.729,-447.125,6.231,1.1631,4.5194,0.0,6.179
73.86,11.296,49.8788,49.87876,4.008455,97.733,1.1689,4.6874,-445.708,6.218,1.1578,4.3611,445.708,6.137,1.1578,4.3626,445.708,6.137,1.169,4.6879,-445.708,6.218,1.1634,4.5254,0.0,6.178
73.88,11.302,49.87878,49.87874,4.008459,97.7299,1.1673,4.6496,-444.009,6.206,1.16,4.411,444.009,6.146,1.16,4.4125,444.009,6.147,1.1673,4.65,-444.009,6.206,1.1637,4.5314,0.0,6.176
73.9,11.307,49.87876,49.87871,4.008463,97.7269,1.1658,4.6149,-442.029,6.194,1.162,4.4579,442.029,6.155,1.1621,4.4595,442.029,6.156,1.1659,4.6153,-442.029,6.194,1.164,4.5374,0.0,6.175
73.92,11.312,49.87874,49.87869,4.008468,97.724,1.1645,4.5832,-439.771,6.184,1.164,4.502,439.771,6.163,1.1641,4.5036,439.771,6.164,1.1645,4.5835,-439.771,6.184,1.1643,4.5434,0.0,6.174
73.94,11.318,49.87872,49.87867,4.008472,97.7211,1.1632,4.5541,-437.234,6.174,1.1658,4.5435,437.234,6.171,1.1659,4.5451,437.234,6.171,1.1633,4.5544,-437.234,6.174,1.1645,4.5494,0.0,6.172
73.96,11.323,49.8787,49.87865,4.008476,97.7183,1.1621,4.5276,-434.422,6.164,1.1675,4.5824,434.422,6.178,1.1676,4.5841,434.422,6.178,1.1621,4.5278,-434.422,6.164,1.1648,4.5554,0.0,6.171
73.98,11.328,49.87868,49.87863,4.00848,97.7156,1.1611,4.5035,-431.335,6.155,1.1691,4.6189,431.335,6.184,1.1692,4.6207,431.335,6.184,1.1611,4.5036,-431.335,6.155,1.1651,4.5614,0.0,6.17
74.0,11.333,49.87866,49.87861,4.008484,97.713,1.1602,4.4816,-427.975,6.147,1.1706,4.6533,427.975,6.189,1.1707,4.6551,427.975,6.19,1.1602,4.4817,-427.975,6.147,1.1654,4.5674,0.0,6.168
74.02,11.338,49.87863,49.87858,4.008489,97.7104,1.1593,4.4618,-424.346,6.139,1.172,4.6854,424.346,6.194,1.1721,4.6873,424.346,6.195,1.1593,4.4619,-424.346,6.139,1.1657,4.5734,0.0,6.167
74.04,11.344,49.87861,49.87856,4.008493,97.708,1.1586,4.444,-420.448,6.132,1.1733,4.7156,420.448,6.199,1.1734,4.7175,420.448,6.199,1.1586,4.4441,-420.448,6.132,1.1659,4.5794,0.0,6.166
74.06,11.349,49.87859,49.87854,4.008497,97.7056,1.1579,4.428,-416.285,6.125,1.1745,4.7439,416.285,6.203,1.1746,4.7458,416.285,6.204,1.1579,4.4281,-416.285,6.125,1.1662,4.5854,0.0,6.164
74.08,11.354,49.87857,49.87852,4.008501,97.7032,1.1573,4.4138,-411.859,6.119,1.1757,4.7703,411.859,6.207,1.1758,4.7723,411.859,6.207,1.1573,4.4139,-411.859,6.119,1.1665,4.5914,0.0,6.163
74.1,11.359,49.87855,49.8785,4.008505,97.701,1.1568,4.4013,-407.172,6.113,1.1767,4.7951,407.172,6.21,1.1768,4.7971,407.172,6.21,1.1568,4.4013,-407.172,6.113,1.1668,4.5973,0.0,6.161
74.12,11.364,49.87852,49.87847,4.008509,97.6989,1.1563,4.3903,-402.229,6.107,1.1777,4.8183,402.229,6.213,1.1778,4.8203,402.229,6.213,1.1563,4.3903,-402.229,6.107,1.1671,4.6033,0.0,6.16
74.14,11.37,49.8785,49.87845,4.008513,97.6968,1.1559,4.3809,-397.031,6.102,1.1787,4.8399,397.031,6.215,1.1787,4.8419,397.031,6.216,1.1559,4.3808,-397.031,6.102,1.1673,4.6093,0.0,6.159
74.16,11.375,49.87848,49.87843,4.008517,97.6948,1.1556,4.3728,-391.583,6.097,1.1795,4.8601,391.583,6.217,1.1796,4.8621,391.583,6.218,1.1556,4.3727,-391.583,6.097,1.1676,4.6153,0.0,6.157
74.18,11.38,49.87846,49.87841,4.008521,97.6929,1.1554,4.366,-385.887,6.093,1.1803,4.879,385.887,6.219,1.1804,4.881,385.887,6.219,1.1554,4.366,-385.887,6.093,1.1679,4.6212,0.0,6.156
74.2,11.385,49.87844,49.87838,4.008525,97.691,1.1552,4.3605,-379.948,6.089,1.1811,4.8965,379.948,6.22,1.1812,4.8985,379.948,6.221,1.1552,4.3605,-379.948,6.089,1.1682,4.6272,0.0,6.155
74.22,11.39,49.87841,49.87836,4.008529,97.6893,1.155,4.3561,-373.768,6.085,1.1818,4.9128,373.768,6.221,1.1819,4.9148,373.768,6.222,1.155,4.3561,-373.768,6.085,1.1684,4.6331,0.0,6.154
74.24,11.395,49.87839,49.87834,4.008533,97.6876,1.1549,4.3529,-367.353,6.081,1.1824,4.928,367.353,6.222,1.1825,4.93,367.353,6.223,1.1549,4.3529,-367.353,6.081,1.1687,4.6391,0.0,6.152
74.26,11.401,49.87837,49.87831,4.008537,97.686,1.1549,4.3508,-360.705,6.078,1.183,4.9421,360.705,6.223,1.1831,4.944,360.705,6.223,1.1549,4.3508,-360.705,6.078,1.169,4.6451,0.0,6.151
74.28,11.406,49.87834,49.87829,4.008541,97.6845,1.1548,4.3497,-353.83,6.075,1.1835,4.9551,353.83,6.223,1.1836,4.957,353.83,6.224,1.1548,4.3497,-353.83,6.075,1.1693,4.651,0.0,6.15
74.3,11.411,49.87832,49.87827,4.008545,97.683,1.1549,4.3495,-346.731,6.072,1.184,4.9671,346.731,6.223,1.1841,4.969,346.731,6.224,1.1549,4.3495,-346.731,6.072,1.1696,4.6569,0.0,6.148
74.32,11.416,49.8783,49.87824,4.008549,97.6817,1.155,4.3502,-339.413,6.07,1.1845,4.9781,339.413,6.223,1.1846,4.9801,339.413,6.224,1.155,4.3503,-339.413,6.07,1.1698,4.6629,0.0,6.147
74.34,11.421,49.87828,49.87822,4.008553,97.6804,1.1551,4.3519,-331.881,6.068,1.1849,4.9883,331.881,6.223,1.185,4.9902,331.881,6.223,1.1551,4.3519,-331.881,6.068,1.1701,4.6688,0.0,6.146
74.36,11.426,49.87825,49.8782,4.008557,97.6792,1.1552,4.3543,-324.139,6.066,1.1853,4.9976,324.139,6.222,1.1854,4.9995,324.139,6.223,1.1552,4.3544,-324.139,6.066,1.1704,4.6747,0.0,6.144
74.38,11.431,49.87823,49.87817,4.008561,97.6781,1.1554,4.3576,-316.192,6.064,1.1857,5.0061,316.192,6.222,1.1858,5.008,316.192,6.222,1.1554,4.3577,-316.192,6.064,1.1707,4.6807,0.0,6.143
74.4,11.436,49.87821,49.87815,4.008565,97.677,1.1556,4.3616,-308.046,6.062,1.186,5.0139,308.046,6.221,1.1861,5.0157,308.046,6.221,1.1556,4.3617,-308.046,6.062,1.1709,4.6866,0.0,6.142
74.42,11.441,49.87818,49.87813,4.008569,97.676,1.1559,4.3663,-299.705,6.06,1.1863,5.0209,299.705,6.22,1.1864,5.0227,299.705,6.22,1.1559,4.3664,-299.705,6.06,1.1712,4.6925,0.0,6.141
74.44,11.446,49.87816,49.8781,4.008573,97.6751,1.1562,4.3717,-291.175,6.059,1.1865,5.0272,291.175,6.218,1.1866,5.029,291.175,6.219,1.1562,4.3719,-291.175,6.059,1.1715,4.6984,0.0,6.139
74.46,11.451,49.87814,49.87808,4.008577,97.6743,1.1565,4.3777,-282.461,6.058,1.1868,5.0328,282.461,6.217,1.1868,5.0345,282.461,6.217,1.1565,4.3779,-282.461,6.058,1.1717,4.7043,0.0,6.138
74.48,11.456,49.87811,49.87806,4.008581,97.6736,1.1568,4.3844,-273.569,6.057,1.187,5.0378,273.569,6.215,1.187,5.0395,273.569,6.216,1.1569,4.3847,-273.569,6.057,1.172,4.7102,0.0,6.137
74.5,11.461,49.87809,49.87803,4.008585,97.6729,1.1572,4.3917,-264.503,6.056,1.1871,5.0421,264.503,6.214,1.1872,5.0438,264.503,6.214,1.1572,4.392,-264.503,6.056,1.1723,4.7161,0.0,6.136
74.52,11.466,49.87807,49.87801,4.008589,97.6724,1.1576,4.3995,-255.271,6.055,1.1873,5.0459,255.271,6.212,1.1874,5.0476,255.271,6.212,1.1576,4.3999,-255.271,6.055,1.1726,4.722,0.0,6.134
74.54,11.471,49.87804,49.87799,4.008593,97.6718,1.158,4.4079,-245.877,6.055,1.1874,5.0492,245.877,6.21,1.1875,5.0508,245.877,6.21,1.1581,4.4083,-245.877,6.055,1.1728,4.7279,0.0,6.133
74.56,11.476,49.87802,49.87796,4.008597,97.6714,1.1585,4.4169,-236.329,6.054,1.1875,5.0519,236.329,6.208,1.1876,5.0535,236.329,6.208,1.1585,4.4173,-236.329,6.055,1.1731,4.7337,0.0,6.132
74.58,11.481,49.878,49.87794,4.008601,97.6711,1.1589,4.4263,-226.63,6.054,1.1876,5.0541,226.63,6.206,1.1876,5.0557,226.63,6.206,1.159,4.4267,-226.63,6.054,1.1734,4.7396,0.0,6.131
74.6,11.486,49.87797,49.87792,4.008605,97.6708,1.1594,4.4362,-216.789,6.054,1.1876,5.0558,216.789,6.204,1.1877,5.0573,216.789,6.204,1.1595,4.4367,-216.789,6.054,1.1736,4.7455,0.0,6.129
74.62,11.491,49.87795,49.87789,4.008609,97.6706,1.1599,4.4465,-206.811,6.054,1.1877,5.0571,206.811,6.201,1.1877,5.0586,206.811,6.201,1.16,4.447,-206.811,6.054,1.1739,4.7513,0.0,6.128
74.64,11.496,49.87793,49.87787,4.008613,97.6705,1.1605,4.4573,-196.702,6.054,1.1877,5.0579,196.702,6.199,1.1878,5.0593,196.702,6.199,1.1605,4.4579,-196.702,6.054,1.1742,4.7572,0.0,6.127
74.66,11.501,49.8779,49.87785,4.008617,97.6704,1.161,4.4685,-186.469,6.054,1.1877,5.0583,186.469,6.196,1.1878,5.0597,186.469,6.196,1.161,4.4691,-186.469,6.054,1.1745,4.763,0.0,6.126
74.68,11.506,49.87788,49.87782,4.008621,97.6704,1.1616,4.4801,-176.118,6.054,1.1877,5.0583,176.118,6.193,1.1877,5.0597,176.118,6.194,1.1616,4.4808,-176.118,6.054,1.1747,4.7689,0.0,6.124
74.7,11.511,49.87786,49.8778,4.008625,97.6705,1.1622,4.4921,-165.656,6.055,1.1876,5.0579,165.656,6.191,1.1877,5.0592,165.656,6.191,1.1622,4.4928,-165.656,6.055,1.175,4.7747,0.0,6.123
74.72,11.516,49.87784,49.87778,4.008629,97.6707,1.1628,4.5044,-155.089,6.055,1.1876,5.0572,155.089,6.188,1.1876,5.0584,155.089,6.188,1.1628,4.5052,-155.089,6.055,1.1753,4.7805,0.0,6.122
74.74,11.521,49.87781,49.87775,4.008633,97.6709,1.1634,4.5171,-144.425,6.056,1.1875,5.0561,144.425,6.185,1.1876,5.0573,144.425,6.185,1.1634,4.5179,-144.425,6.056,1.1755,4.7863,0.0,6.121
74.76,11.526,49.87779,49.87773,4.008637,97.6713,1.164,4.5302,-133.669,6.056,1.1874,5.0547,133.669,6.182,1.1875,5.0558,133.669,6.182,1.164,4.531,-133.669,6.056,1.1758,4.7921,0.0,6.12
74.78,11.53,49.87777,49.87771,4.008641,97.6716,1.1646,4.5435,-122.828,6.057,1.1874,5.0529,122.828,6.179,1.1874,5.054,122.828,6.179,1.1647,4.5444,-122.828,6.057,1.1761,4.7979,0.0,6.118
74.8,11.535,49.87774,49.87768,4.008645,97.6721,1.1653,4.5571,-111.91,6.058,1.1872,5.0508,111.91,6.176,1.1873,5.0519,111.91,6.176,1.1653,4.5581,-111.91,6.058,1.1763,4.8037,0.0,6.117
74.82,11.54,49.87772,49.87766,4.008649,97.6726,1.1659,4.5711,-100.922,6.059,1.1871,5.0485,100.922,6.173,1.1872,5.0495,100.922,6.173,1.166,4.5721,-100.922,6.059,1.1766,4.8095,0.0,6.116
74.84,11.545,49.8777,49.87764,4.008652,97.6732,1.1666,4.5853,-89.869,6.059,1.187,5.0459,89.869,6.17,1.187,5.0468,89.869,6.17,1.1667,4.5863,-89.869,6.06,1.1769,4.8153,0.0,6.115
74.86,11.55,49.87767,49.87762,4.008656,97.6739,1.1673,4.5998,-78.76,6.06,1.1869,5.043,78.76,6.166,1.1869,5.0439,78.76,6.167,1.1674,4.6008,-78.76,6.061,1.1771,4.8211,0.0,6.114
74.88,11.555,49.87765,49.87759,4.00866,97.6747,1.168,4.6145,-67.602,6.061,1.1867,5.0398,67.602,6.163,1.1867,5.0407,67.602,6.163,1.1681,4.6156,-67.602,6.062,1.1774,4.8269,0.0,6.113
74.9,11.559,49.87763,49.87757,4.008664,97.6755,1.1687,4.6294,-56.4,6.063,1.1865,5.0364,56.4,6.16,1.1866,5.0372,56.4,6.16,1.1688,4.6306,-56.4,6.063,1.1777,4.8326,0.0,6.111
74.92,11.564,49.87761,49.87755,4.008668,97.6764,1.1694,4.6446,-45.163,6.064,1.1864,5.0328,45.163,6.156,1.1864,5.0336,45.163,6.156,1.1695,4.6458,-45.163,6.064,1.1779,4.8384,0.0,6.11
74.94,11.569,49.87758,49.87752,4.008672,97.6773,1.1701,4.6599,-33.897,6.065,1.1862,5.029,33.897,6.153,1.1862,5.0297,33.897,6.153,1.1702,4.6612,-33.897,6.065,1.1782,4.8441,0.0,6.109
74.96,11.574,49.87756,49.8775,4.008676,97.6783,1.1709,4.6755,-22.61,6.066,1.186,5.025,22.61,6.149,1.186,5.0256,22.61,6.149,1.1709,4.6768,-22.61,6.066,1.1784,4.8499,0.0,6.108
74.98,11.578,49.87754,49.87748,4.00868,97.6794,1.1716,4.6913,-11.309,6.067,1.1858,5.0207,11.309,6.146,1.1858,5.0214,11.309,6.146,1.1717,4.6926,-11.309,6.068,1.1787,4.8556,0.0,6.107
75.0,11.583,49.87752,49.87746,4.008684,97.6806,1.1724,4.7072,0.0,6.069,1.1856,5.0163,-0.0,6.142,1.1856,5.0169,-0.0,6.142,1.1724,4.7086,0.0,6.069,1.179,4.8613,0.0,6.106
75.02,11.588,49.8775,49.87744,4.008688,97.6818,1.1731,4.7233,11.309,6.07,1.1854,5.0118,-11.309,6.139,1.1854,5.0123,-11.309,6.139,1.1732,4.7247,11.309,6.071,1.1792,4.867,0.0,6.104
75.04,11.593,49.87747,49.87741,4.008692,97.6831,1.1739,4.7395,22.61,6.072,1.1851,5.007,-22.61,6.135,1.1852,5.0075,-22.61,6.135,1.1739,4.741,22.61,6.072,1.1795,4.8727,0.0,6.103
75.06,11.597,49.87745,49.87739,4.008696,97.6844,1.1746,4.7559,33.897,6.073,1.1849,5.0021,-33.897,6.131,1.1849,5.0026,-33.897,6.132,1.1747,4.7574,33.897,6.073,1.1798,4.8784,0.0,6.102
75.08,11.602,49.87743,49.87737,4.008699,97.6858,1.1754,4.7724,45.163,6.075,1.1847,4.9971,-45.163,6.128,1.1847,4.9976,-45.163,6.128,1.1755,4.7739,45.163,6.075,1.18,4.8841,0.0,6.101
